service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1-127,1,1,1,1,1,1,1,20260105,20260308
11-1-127,1,1,1,1,1,1,1,20260105,20260308
1-1-127,1,1,1,1,1,1,1,20260105,20260308
17-1-127,1,1,1,1,1,1,1,20260105,20260308
18-1-127,1,1,1,1,1,1,1,20260105,20260308
19-1-127,1,1,1,1,1,1,1,20260105,20260308
20-1-127,1,1,1,1,1,1,1,20260105,20260308
2-1-127,1,1,1,1,1,1,1,20260105,20260308
3-1-127,1,1,1,1,1,1,1,20260105,20260308
4-1-127,1,1,1,1,1,1,1,20260105,20260308
5-1-127,1,1,1,1,1,1,1,20260105,20260308
6-1-127,1,1,1,1,1,1,1,20260105,20260308
7-1-127,1,1,1,1,1,1,1,20260105,20260308
8-1-127,1,1,1,1,1,1,1,20260105,20260308
9-1-127,1,1,1,1,1,1,1,20260105,20260308
